Jump,retOpen,Returns(120mins),Returns(90mins),Returns(60mins),Returns(30mins),Returns(15mins),ATR,EndBars,Target
1.002817,-0.215,0.049999,0.02,-0.014999,-0.025002,0.049999,1.027256,8,3
1.002817,-0.192501,0.072498,0.107498,-0.007504,0.072498,0.022499,1.027256,7,3
1.002817,-0.204998,0.030003,-0.004997,-0.014999,0.010002,-0.012497,1.027256,6,3
1.002817,-0.235001,0.064999,-0.050003,0.029999,-0.0425,-0.030003,1.027256,5,4
1.002817,-0.2075,-0.0075,-0.017502,0.0075,-0.002502,0.0275,1.027256,4,3
1.002817,-0.162498,0.022499,0.102501,0.030003,0.072502,0.045002,1.027256,3,2
1.002817,-0.1175,0.072498,0.0975,0.087498,0.09,0.044998,1.027256,2,2
1.002817,-0.1325,0.1325,0.060001,0.102501,0.029999,-0.014999,0.931692,1,2
1.001488,0.240002,0.112499,0.107498,0,0.005001,-0.035,0.931692,24,0
1.001488,0.165001,-0.035,-0.122501,-0.055,-0.110001,-0.075001,0.931692,23,0
1.001488,0.16,0.027496,-0.080002,-0.075001,-0.080002,-0.005001,0.931692,22,0
1.001488,0.095001,-0.192501,-0.125,-0.18,-0.07,-0.064999,0.931692,21,0
1.001488,0.087502,-0.1525,-0.147499,-0.1525,-0.072498,-0.0075,0.931692,20,0
1.001488,0.040001,-0.18,-0.235001,-0.125,-0.055,-0.047501,0.931692,19,0
1.001488,0.067501,-0.1675,-0.172501,-0.092499,-0.02,0.0275,0.931692,18,0
1.001488,0.042503,-0.232498,-0.122498,-0.052498,0.002502,-0.024998,0.931692,17,0
1.001488,0.012501,-0.227501,-0.147499,-0.075001,-0.055,-0.030003,0.931692,16,0
1.001488,-0.019997,-0.184998,-0.114998,-0.059998,-0.0625,-0.032497,0.931692,15,0
1.001488,0.025002,-0.134998,-0.0625,-0.0425,0.012501,0.044998,0.931692,14,0
1.001488,-0.004997,-0.099998,-0.044998,-0.047501,0.014999,-0.029999,0.931692,13,0
1.001488,0.022503,-0.064999,-0.044998,0.010002,-0.002499,0.0275,0.931692,12,0
1.001488,0.025002,-0.014999,-0.017502,0.044998,0.029999,0.002499,0.931692,11,0
1.001488,0.0275,-0.040001,0.014999,0.002499,0.004997,0.002499,0.931692,10,0
1.001488,0.012501,-0.030003,0.032497,0.017498,-0.012501,-0.014999,0.931692,9,0
1.001488,0.02,0.0075,-0.005001,-0.002502,-0.0075,0.0075,0.931692,8,0
1.001488,0.010002,0.029999,0.014999,-0.014999,-0.002499,-0.009998,0.931692,7,0
1.001488,0.015003,-0.009998,-0.0075,-0.012497,-0.004997,0.005001,0.931692,6,0
1.001488,0.100002,0.105,0.075001,0.087502,0.09,0.084999,0.931692,5,0
1.001488,-0.247498,-0.27,-0.274998,-0.267498,-0.262501,-0.3475,0.931692,4,0
1.001488,-0.389999,-0.415001,-0.4025,-0.400002,-0.490002,-0.142502,0.931692,3,0
